link,country,year,trade_country,percentage,trade_type,retrieved
/the-world-factbook/countries/brazil,Brazil,2019,Germany,0.06,imports,2023-03-31
/the-world-factbook/countries/brazil,Brazil,2019,Argentina,0.06,imports,2023-03-31
/the-world-factbook/countries/british-virgin-islands,British Virgin Islands,2019,Germany,0.32,imports,2023-03-31
/the-world-factbook/countries/british-virgin-islands,British Virgin Islands,2019,United States,0.22,imports,2023-03-31
/the-world-factbook/countries/british-virgin-islands,British Virgin Islands,2019,Italy,0.09,imports,2023-03-31
/the-world-factbook/countries/british-virgin-islands,British Virgin Islands,2019,France,0.07,imports,2023-03-31
/the-world-factbook/countries/british-virgin-islands,British Virgin Islands,2019,Seychelles,0.07,imports,2023-03-31
/the-world-factbook/countries/brunei,Brunei,2019,Singapore,0.18,imports,2023-03-31
/the-world-factbook/countries/brunei,Brunei,2019,China,0.14,imports,2023-03-31
/the-world-factbook/countries/brunei,Brunei,2019,Malaysia,0.12,imports,2023-03-31
/the-world-factbook/countries/brunei,Brunei,2019,Nigeria,0.05,imports,2023-03-31
/the-world-factbook/countries/brunei,Brunei,2019,United Arab Emirates,0.05,imports,2023-03-31
/the-world-factbook/countries/brunei,Brunei,2019,United States,0.05,imports,2023-03-31
/the-world-factbook/countries/bulgaria,Bulgaria,2019,Germany,0.11,imports,2023-03-31
/the-world-factbook/countries/bulgaria,Bulgaria,2019,Russia,0.09,imports,2023-03-31
/the-world-factbook/countries/bulgaria,Bulgaria,2019,Italy,0.07,imports,2023-03-31
/the-world-factbook/countries/bulgaria,Bulgaria,2019,Romania,0.07,imports,2023-03-31
/the-world-factbook/countries/bulgaria,Bulgaria,2019,Turkey,0.07,imports,2023-03-31
/the-world-factbook/countries/burkina-faso,Burkina Faso,2019,Cote d'Ivoire,0.15,imports,2023-03-31
/the-world-factbook/countries/burkina-faso,Burkina Faso,2019,China,0.09,imports,2023-03-31
/the-world-factbook/countries/burkina-faso,Burkina Faso,2019,Ghana,0.08,imports,2023-03-31
/the-world-factbook/countries/burkina-faso,Burkina Faso,2019,France,0.08,imports,2023-03-31
/the-world-factbook/countries/burkina-faso,Burkina Faso,2019,India,0.06,imports,2023-03-31
/the-world-factbook/countries/burkina-faso,Burkina Faso,2019,United States,0.05,imports,2023-03-31
/the-world-factbook/countries/burma,Burma,2019,China,0.43,imports,2023-03-31
/the-world-factbook/countries/burma,Burma,2019,Thailand,0.15,imports,2023-03-31
/the-world-factbook/countries/burma,Burma,2019,Singapore,0.12,imports,2023-03-31
/the-world-factbook/countries/burma,Burma,2019,Indonesia,0.05,imports,2023-03-31
/the-world-factbook/countries/burundi,Burundi,2019,China,0.14,imports,2023-03-31
/the-world-factbook/countries/burundi,Burundi,2019,Saudi Arabia,0.14,imports,2023-03-31
/the-world-factbook/countries/burundi,Burundi,2019,India,0.09,imports,2023-03-31
/the-world-factbook/countries/burundi,Burundi,2019,Kenya,0.07,imports,2023-03-31
/the-world-factbook/countries/burundi,Burundi,2019,United Arab Emirates,0.07,imports,2023-03-31
/the-world-factbook/countries/burundi,Burundi,2019,Tanzania,0.05,imports,2023-03-31
/the-world-factbook/countries/burundi,Burundi,2019,Zambia,0.05,imports,2023-03-31
/the-world-factbook/countries/cabo-verde,Cabo Verde,2019,Portugal,0.36,imports,2023-03-31
/the-world-factbook/countries/cabo-verde,Cabo Verde,2019,Netherlands,0.16,imports,2023-03-31
/the-world-factbook/countries/cabo-verde,Cabo Verde,2019,Spain,0.11,imports,2023-03-31
/the-world-factbook/countries/cabo-verde,Cabo Verde,2019,China,0.06,imports,2023-03-31
/the-world-factbook/countries/cambodia,Cambodia,2019,China,0.27,imports,2023-03-31
/the-world-factbook/countries/cambodia,Cambodia,2019,Thailand,0.25,imports,2023-03-31
/the-world-factbook/countries/cambodia,Cambodia,2019,Vietnam,0.15,imports,2023-03-31
/the-world-factbook/countries/cambodia,Cambodia,2019,Singapore,0.08,imports,2023-03-31
/the-world-factbook/countries/cameroon,Cameroon,2019,China,0.28,imports,2023-03-31
/the-world-factbook/countries/cameroon,Cameroon,2019,Nigeria,0.15,imports,2023-03-31
/the-world-factbook/countries/cameroon,Cameroon,2019,France,0.09,imports,2023-03-31
/the-world-factbook/countries/cameroon,Cameroon,2019,Belgium,0.06,imports,2023-03-31
/the-world-factbook/countries/canada,Canada,2019,United States,0.57,imports,2023-03-31
/the-world-factbook/countries/canada,Canada,2019,China,0.11,imports,2023-03-31
/the-world-factbook/countries/canada,Canada,2019,Mexico,0.05,imports,2023-03-31
/the-world-factbook/countries/cayman-islands,Cayman Islands,2019,Netherlands,0.56,imports,2023-03-31
/the-world-factbook/countries/cayman-islands,Cayman Islands,2019,United States,0.18,imports,2023-03-31
/the-world-factbook/countries/cayman-islands,Cayman Islands,2019,Italy,0.08,imports,2023-03-31
/the-world-factbook/countries/cayman-islands,Cayman Islands,2019,Switzerland,0.05,imports,2023-03-31
/the-world-factbook/countries/central-african-republic,Central African Republic,2019,India,0.18,imports,2023-03-31
/the-world-factbook/countries/central-african-republic,Central African Republic,2019,France,0.12,imports,2023-03-31
/the-world-factbook/countries/central-african-republic,Central African Republic,2019,United States,0.11,imports,2023-03-31
/the-world-factbook/countries/central-african-republic,Central African Republic,2019,China,0.09,imports,2023-03-31
/the-world-factbook/countries/central-african-republic,Central African Republic,2019,Netherlands,0.07,imports,2023-03-31
/the-world-factbook/countries/central-african-republic,Central African Republic,2019,Belgium,0.07,imports,2023-03-31
/the-world-factbook/countries/central-african-republic,Central African Republic,2019,Malta,0.06,imports,2023-03-31
/the-world-factbook/countries/chad,Chad,2019,China,0.29,imports,2023-03-31
/the-world-factbook/countries/chad,Chad,2019,United Arab Emirates,0.16,imports,2023-03-31
/the-world-factbook/countries/chad,Chad,2019,France,0.1,imports,2023-03-31
/the-world-factbook/countries/chad,Chad,2019,United States,0.08,imports,2023-03-31
/the-world-factbook/countries/chad,Chad,2019,India,0.05,imports,2023-03-31
/the-world-factbook/countries/chile,Chile,2019,China,0.24,imports,2023-03-31
/the-world-factbook/countries/chile,Chile,2019,United States,0.2,imports,2023-03-31
/the-world-factbook/countries/chile,Chile,2019,Brazil,0.08,imports,2023-03-31
/the-world-factbook/countries/chile,Chile,2019,Germany,0.05,imports,2023-03-31
/the-world-factbook/countries/chile,Chile,2019,Argentina,0.05,imports,2023-03-31
/the-world-factbook/countries/china,China,2019,South Korea,0.09,imports,2023-03-31
/the-world-factbook/countries/china,China,2019,Japan,0.08,imports,2023-03-31
/the-world-factbook/countries/china,China,2019,Australia,0.07,imports,2023-03-31
/the-world-factbook/countries/china,China,2019,Germany,0.07,imports,2023-03-31
/the-world-factbook/countries/china,China,2019,United States,0.07,imports,2023-03-31
/the-world-factbook/countries/china,China,2019,Taiwan,0.06,imports,2023-03-31
/the-world-factbook/countries/christmas-island,Christmas Island,2019,Australia,0.8,imports,2023-03-31
/the-world-factbook/countries/christmas-island,Christmas Island,2019,United States,0.07,imports,2023-03-31
/the-world-factbook/countries/christmas-island,Christmas Island,2019,Canada,0.05,imports,2023-03-31
/the-world-factbook/countries/cocos-keeling-islands,Cocos (Keeling) Islands,2019,Australia,0.73,imports,2023-03-31
/the-world-factbook/countries/cocos-keeling-islands,Cocos (Keeling) Islands,2019,United Arab Emirates,0.15,imports,2023-03-31
/the-world-factbook/countries/cocos-keeling-islands,Cocos (Keeling) Islands,2019,Netherlands,0.05,imports,2023-03-31
/the-world-factbook/countries/colombia,Colombia,2019,United States,0.27,imports,2023-03-31
/the-world-factbook/countries/colombia,Colombia,2019,China,0.2,imports,2023-03-31
/the-world-factbook/countries/colombia,Colombia,2019,Mexico,0.07,imports,2023-03-31
/the-world-factbook/countries/colombia,Colombia,2019,Brazil,0.06,imports,2023-03-31
/the-world-factbook/countries/comoros,Comoros,2019,China,0.22,imports,2023-03-31
/the-world-factbook/countries/comoros,Comoros,2019,United Arab Emirates,0.16,imports,2023-03-31
/the-world-factbook/countries/comoros,Comoros,2019,France,0.11,imports,2023-03-31
/the-world-factbook/countries/comoros,Comoros,2019,Pakistan,0.09,imports,2023-03-31
/the-world-factbook/countries/comoros,Comoros,2019,India,0.06,imports,2023-03-31
/the-world-factbook/countries/congo-democratic-republic-of-the,"Congo, Democratic Republic of the",2019,China,0.29,imports,2023-03-31
/the-world-factbook/countries/congo-democratic-republic-of-the,"Congo, Democratic Republic of the",2019,South Africa,0.15,imports,2023-03-31
/the-world-factbook/countries/congo-democratic-republic-of-the,"Congo, Democratic Republic of the",2019,Zambia,0.12,imports,2023-03-31
/the-world-factbook/countries/congo-democratic-republic-of-the,"Congo, Democratic Republic of the",2019,Rwanda,0.05,imports,2023-03-31
/the-world-factbook/countries/congo-democratic-republic-of-the,"Congo, Democratic Republic of the",2019,Belgium,0.05,imports,2023-03-31
/the-world-factbook/countries/congo-democratic-republic-of-the,"Congo, Democratic Republic of the",2019,India,0.05,imports,2023-03-31
/the-world-factbook/countries/congo-republic-of-the,"Congo, Republic of the",2019,China,0.15,imports,2023-03-31
/the-world-factbook/countries/congo-republic-of-the,"Congo, Republic of the",2019,France,0.12,imports,2023-03-31
/the-world-factbook/countries/congo-republic-of-the,"Congo, Republic of the",2019,Belgium,0.06,imports,2023-03-31
/the-world-factbook/countries/congo-republic-of-the,"Congo, Republic of the",2019,Angola,0.05,imports,2023-03-31
/the-world-factbook/countries/cook-islands,Cook Islands,2019,New Zealand,0.41,imports,2023-03-31
/the-world-factbook/countries/cook-islands,Cook Islands,2019,China,0.21,imports,2023-03-31
/the-world-factbook/countries/cook-islands,Cook Islands,2019,Italy,0.12,imports,2023-03-31
/the-world-factbook/countries/cook-islands,Cook Islands,2019,Fiji,0.1,imports,2023-03-31
/the-world-factbook/countries/costa-rica,Costa Rica,2019,United States,0.41,imports,2023-03-31
/the-world-factbook/countries/costa-rica,Costa Rica,2019,China,0.13,imports,2023-03-31
/the-world-factbook/countries/costa-rica,Costa Rica,2019,Mexico,0.07,imports,2023-03-31
/the-world-factbook/countries/cote-divoire,Cote d'Ivoire,2019,China,0.18,imports,2023-03-31
/the-world-factbook/countries/cote-divoire,Cote d'Ivoire,2019,Nigeria,0.13,imports,2023-03-31
/the-world-factbook/countries/cote-divoire,Cote d'Ivoire,2019,France,0.11,imports,2023-03-31
/the-world-factbook/countries/croatia,Croatia,2019,Italy,0.14,imports,2023-03-31
/the-world-factbook/countries/croatia,Croatia,2019,Germany,0.14,imports,2023-03-31
/the-world-factbook/countries/croatia,Croatia,2019,Slovenia,0.11,imports,2023-03-31
/the-world-factbook/countries/croatia,Croatia,2019,Hungary,0.07,imports,2023-03-31
/the-world-factbook/countries/croatia,Croatia,2019,Austria,0.06,imports,2023-03-31
/the-world-factbook/countries/cuba,Cuba,2019,Spain,0.19,imports,2023-03-31
/the-world-factbook/countries/cuba,Cuba,2019,China,0.15,imports,2023-03-31
/the-world-factbook/countries/cuba,Cuba,2019,Italy,0.06,imports,2023-03-31
/the-world-factbook/countries/cuba,Cuba,2019,Canada,0.05,imports,2023-03-31
/the-world-factbook/countries/cuba,Cuba,2019,Russia,0.05,imports,2023-03-31
/the-world-factbook/countries/cuba,Cuba,2019,United States,0.05,imports,2023-03-31
/the-world-factbook/countries/cuba,Cuba,2019,Brazil,0.05,imports,2023-03-31
/the-world-factbook/countries/curacao,Curacao,2019,United States,0.35,imports,2023-03-31
/the-world-factbook/countries/curacao,Curacao,2019,Netherlands,0.24,imports,2023-03-31
/the-world-factbook/countries/curacao,Curacao,2019,China,0.05,imports,2023-03-31
/the-world-factbook/countries/cyprus,Cyprus,2019,Greece,0.16,imports,2023-03-31
/the-world-factbook/countries/cyprus,Cyprus,2019,Italy,0.1,imports,2023-03-31
/the-world-factbook/countries/cyprus,Cyprus,2019,Turkey,0.08,imports,2023-03-31
/the-world-factbook/countries/cyprus,Cyprus,2019,Russia,0.05,imports,2023-03-31
/the-world-factbook/countries/cyprus,Cyprus,2019,Germany,0.05,imports,2023-03-31
/the-world-factbook/countries/cyprus,Cyprus,2019,United Kingdom,0.05,imports,2023-03-31
/the-world-factbook/countries/cyprus,Cyprus,2019,China,0.05,imports,2023-03-31
/the-world-factbook/countries/czechia,Czechia,2019,Germany,0.27,imports,2023-03-31
/the-world-factbook/countries/czechia,Czechia,2019,China,0.12,imports,2023-03-31
/the-world-factbook/countries/czechia,Czechia,2019,Poland,0.09,imports,2023-03-31
/the-world-factbook/countries/czechia,Czechia,2019,Slovakia,0.05,imports,2023-03-31
/the-world-factbook/countries/denmark,Denmark,2019,Germany,0.21,imports,2023-03-31
/the-world-factbook/countries/denmark,Denmark,2019,Sweden,0.11,imports,2023-03-31
/the-world-factbook/countries/denmark,Denmark,2019,Netherlands,0.08,imports,2023-03-31
/the-world-factbook/countries/denmark,Denmark,2019,China,0.07,imports,2023-03-31
/the-world-factbook/countries/djibouti,Djibouti,2019,China,0.43,imports,2023-03-31
/the-world-factbook/countries/djibouti,Djibouti,2019,United Arab Emirates,0.15,imports,2023-03-31
/the-world-factbook/countries/djibouti,Djibouti,2019,India,0.07,imports,2023-03-31
/the-world-factbook/countries/djibouti,Djibouti,2019,Turkey,0.05,imports,2023-03-31
/the-world-factbook/countries/dominica,Dominica,2019,United States,0.57,imports,2023-03-31
/the-world-factbook/countries/dominica,Dominica,2019,Nigeria,0.11,imports,2023-03-31
/the-world-factbook/countries/dominica,Dominica,2019,China,0.06,imports,2023-03-31
/the-world-factbook/countries/dominica,Dominica,2019,Italy,0.05,imports,2023-03-31
/the-world-factbook/countries/dominican-republic,Dominican Republic,2019,United States,0.5,imports,2023-03-31
/the-world-factbook/countries/dominican-republic,Dominican Republic,2019,China,0.13,imports,2023-03-31
/the-world-factbook/countries/ecuador,Ecuador,2019,United States,0.22,imports,2023-03-31
/the-world-factbook/countries/ecuador,Ecuador,2019,China,0.18,imports,2023-03-31
/the-world-factbook/countries/ecuador,Ecuador,2019,Colombia,0.09,imports,2023-03-31
/the-world-factbook/countries/ecuador,Ecuador,2019,Panama,0.05,imports,2023-03-31
/the-world-factbook/countries/egypt,Egypt,2019,China,0.15,imports,2023-03-31
/the-world-factbook/countries/egypt,Egypt,2019,Russia,0.07,imports,2023-03-31
/the-world-factbook/countries/egypt,Egypt,2019,United States,0.06,imports,2023-03-31
/the-world-factbook/countries/egypt,Egypt,2019,Saudi Arabia,0.06,imports,2023-03-31
/the-world-factbook/countries/egypt,Egypt,2019,Germany,0.05,imports,2023-03-31
/the-world-factbook/countries/egypt,Egypt,2019,Turkey,0.05,imports,2023-03-31
/the-world-factbook/countries/el-salvador,El Salvador,2019,United States,0.3,imports,2023-03-31
/the-world-factbook/countries/el-salvador,El Salvador,2019,China,0.14,imports,2023-03-31
/the-world-factbook/countries/el-salvador,El Salvador,2019,Guatemala,0.13,imports,2023-03-31
/the-world-factbook/countries/el-salvador,El Salvador,2019,Mexico,0.08,imports,2023-03-31
/the-world-factbook/countries/el-salvador,El Salvador,2019,Honduras,0.06,imports,2023-03-31
/the-world-factbook/countries/equatorial-guinea,Equatorial Guinea,2019,United States,0.22,imports,2023-03-31
/the-world-factbook/countries/equatorial-guinea,Equatorial Guinea,2019,Spain,0.19,imports,2023-03-31
/the-world-factbook/countries/equatorial-guinea,Equatorial Guinea,2019,China,0.12,imports,2023-03-31
/the-world-factbook/countries/equatorial-guinea,Equatorial Guinea,2019,United Kingdom,0.06,imports,2023-03-31
/the-world-factbook/countries/equatorial-guinea,Equatorial Guinea,2019,United Arab Emirates,0.05,imports,2023-03-31
/the-world-factbook/countries/eritrea,Eritrea,2017,UAE,0.05,imports,2023-03-31
/the-world-factbook/countries/eritrea,Eritrea,2017,China,0.02,imports,2023-03-31
/the-world-factbook/countries/eritrea,Eritrea,2017,Saudi Arabia,0.02,imports,2023-03-31
/the-world-factbook/countries/eritrea,Eritrea,2017,Italy,0.09,imports,2023-03-31
/the-world-factbook/countries/eritrea,Eritrea,2017,Turkey,0.06,imports,2023-03-31
/the-world-factbook/countries/eritrea,Eritrea,2017,South Africa,0.06,imports,2023-03-31
/the-world-factbook/countries/estonia,Estonia,2019,Russia,0.12,imports,2023-03-31
/the-world-factbook/countries/estonia,Estonia,2019,Germany,0.1,imports,2023-03-31
/the-world-factbook/countries/estonia,Estonia,2019,Finland,0.09,imports,2023-03-31
/the-world-factbook/countries/estonia,Estonia,2019,Lithuania,0.07,imports,2023-03-31
/the-world-factbook/countries/estonia,Estonia,2019,Latvia,0.07,imports,2023-03-31
/the-world-factbook/countries/estonia,Estonia,2019,Sweden,0.06,imports,2023-03-31
/the-world-factbook/countries/estonia,Estonia,2019,Poland,0.06,imports,2023-03-31
/the-world-factbook/countries/estonia,Estonia,2019,China,0.06,imports,2023-03-31
/the-world-factbook/countries/eswatini,Eswatini,2017,South Africa,0.06,imports,2023-03-31
/the-world-factbook/countries/eswatini,Eswatini,2017,China,0.02,imports,2023-03-31
/the-world-factbook/countries/ethiopia,Ethiopia,2019,China,0.27,imports,2023-03-31
/the-world-factbook/countries/ethiopia,Ethiopia,2019,India,0.09,imports,2023-03-31
